4, success:True adjE: 2, zeroScore:0.03384132333305382, average score:0.03384360240270788 oV:-2.5477725377591245 average grad:0.1593494796439239, step1:0.006331570896679919 step2:0.006331570896679919 actualStep:0.006331570896679919 newV:-2.5414409668624445
5, success:True adjE: 2, zeroScore:0.03387549310655196, average score:0.033875496177703544 oV:1.4981685082953682 average grad:0.0042253146010332214, step1:0.00020907191227831278 step2:0.00020907191227831278 actualStep:0.00020907191227831278 newV:1.4983775802076464
6, success:True adjE: 2, zeroScore:0.033875523032003495, average score:0.03388449355960659 oV:-6.205689045447702 average grad:-0.19119011199875313, step1:-0.011300108281895238 step2:-0.011300108281895238 actualStep:-0.011300108281895238 newV:-6.216989153729597
7, success:True adjE: 1, zeroScore:0.03394884904951951, average score:0.03413354912588556 oV:-7.915983160340552 average grad:-0.7478309053604675, step1:-0.05128591555910588 step2:-0.05128591555910588 actualStep:-0.05128591555910588 newV:-7.967269075899658
9, success:True adjE: 1, zeroScore:0.03529520804359373, average score:0.035631221528049456 oV:-7.967269075899658 average grad:-0.7806433651580974, step1:-0.06791059165527599 step2:-0.06791059165527599 actualStep:-0.06791059165527599 newV:-8.035179667554933
10, success:True adjE: 2, zeroScore:0.037251430198929195, average score:0.037260685346515686 oV:-7.4519150138992085 average grad:0.10889586777185432, step1:0.010441492011658665 step2:0.010441492011658665 actualStep:0.010441492011658665 newV:-7.44147352188755
11, success:True adjE: 1, zeroScore:0.03729382788368168, average score:0.03730517078984514 oV:7.64124081791368 average grad:-0.11584910703960828, step1:-0.012110569746524837 step2:-0.012110569746524837 actualStep:-0.012110569746524837 newV:7.629130248167155
12, success:True adjE: 2, zeroScore:0.03734620863391534, average score:0.037391025076795335 oV:5.996572016154131 average grad:-0.21306395346065274, step1:-0.024060991534669535 step2:-0.024060991534669535 actualStep:-0.024060991534669535 newV:5.972511024619461
13, success:True adjE: 1, zeroScore:0.03753841980997451, average score:0.0375539296371746 oV:7.629130248167155 average grad:-0.1166216136310857, step1:-0.014115563036906774 step2:-0.014115563036906774 actualStep:-0.014115563036906774 newV:7.615014685130248
14, success:True adjE: 2, zeroScore:0.037600291083841775, average score:0.03760068300066682 oV:-6.861588678606811 average grad:0.017399137122247502, step1:0.0022417663753651483 step2:0.0022417663753651483 actualStep:0.0022417663753651483 newV:-6.859346912231445
15, success:True adjE: 2, zeroScore:0.03760175771761524, average score:0.03766847791591333 oV:2.4089841019714964 average grad:-0.21464495314386556, step1:-0.029262063941250235 step2:-0.029262063941250235 actualStep:-0.029262063941250235 newV:2.379722038030246
19, success:True adjE: 2, zeroScore:0.03783900179668743, average score:0.03783903869014565 oV:6.721701392394952 average grad:0.00421454193775158, step1:0.0006856347515504374 step2:0.0006856347515504374 actualStep:0.0006856347515504374 newV:6.722387027146502
20, success:True adjE: 2, zeroScore:0.03783911113785425, average score:0.037893726662873356 oV:-2.5414409668624445 average grad:0.1731322694518289, step1:0.029137156255531312 step2:0.029137156255531312 actualStep:0.029137156255531312 newV:-2.5123038106069133
22, success:True adjE: 1, zeroScore:0.03803056992093572, average score:0.038557349600376996 oV:2.1785341539420138 average grad:-0.46006764925665466, step1:-0.08200313502873872 step2:-0.08200313502873872 actualStep:-0.08200313502873872 newV:2.096531018913275
24, success:True adjE: 1, zeroScore:0.03950044279940673, average score:0.04333610698064805 oV:-1.777635423033157 average grad:1.188124496605228, step1:0.22147569396624153 step2:0.22147569396624153 actualStep:0.22147569396624153 newV:-1.5561597290669156
25, success:True adjE: 2, zeroScore:0.051964024678615384, average score:0.051966274027356894 oV:4.566021805370692 average grad:0.024070239183815886, step1:0.004568457353930287 step2:0.004568457353930287 actualStep:0.004568457353930287 newV:4.570590262724623
26, success:True adjE: 1, zeroScore:0.05196973922444301, average score:0.0519728529122954 oV:7.533101643743837 average grad:-0.027890011929811335, step1:-0.005374729857270575 step2:-0.005374729857270575 actualStep:-0.005374729857270575 newV:7.527726913886567
28, success:True adjE: 2, zeroScore:0.051977530255963425, average score:0.05203312769220996 oV:0.7215461388068309 average grad:0.1031647455657636, step1:0.020332734132421988 step2:0.020332734132421988 actualStep:0.020332734132421988 newV:0.7418788729392529
