46, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.081514233588266e-11 oV:226.638150579618 average grad:1.93018080941045e-15, step1:8.878831723288072e-17 step2:8.878831723288072e-17 actualStep:8.878831723288072e-17 newV:226.638150579618
48, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.081514549797787e-11 oV:-632.9915993558762 average grad:-3.0253564974610334e-14, step1:-1.452171118781296e-15 step2:-1.452171118781296e-15 actualStep:-1.452171118781296e-15 newV:-632.9915993558762
49, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.081514232005432e-11 oV:-258.6540152685211 average grad:-2.4219786570776134e-17, step1:-1.1867695419680305e-18 step2:-1.1867695419680305e-18 actualStep:-1.1867695419680305e-18 newV:-258.6540152685211
51, success:True adjE: 1, zeroScore:-8.081514232005184e-11, average score:-8.081546011425275e-11 oV:-604.2210023245951 average grad:-3.025365639190055e-13, step1:-1.542936475986928e-14 step2:-1.542936475986928e-14 actualStep:-1.542936475986928e-14 newV:-604.2210023245951
52, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.081514232005432e-11 oV:-391.5159801790745 average grad:2.4219786575442958e-17, step1:1.2594289019230338e-18 step2:1.2594289019230338e-18 actualStep:1.2594289019230338e-18 newV:-391.5159801790745
54, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.08151424201016e-11 oV:-558.9859244848814 average grad:-5.566622846465734e-15, step1:-3.005976337091497e-16 step2:-3.005976337091497e-16 actualStep:-3.005976337091497e-16 newV:-558.9859244848814
57, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.081514949309964e-11 oV:690.0914514657427 average grad:-4.648505126195645e-14, step1:-2.6496479219315172e-15 step2:-2.6496479219315172e-15 actualStep:-2.6496479219315172e-15 newV:690.0914514657427
58, success:True adjE: 1, zeroScore:-8.081514232005184e-11, average score:-8.081514384185314e-11 oV:191.29101393932183 average grad:1.8924534289708256e-14, step1:1.0976229888030788e-15 step2:1.0976229888030788e-15 actualStep:1.0976229888030788e-15 newV:191.29101393932183
60, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.081514949309961e-11 oV:12.390945610571407 average grad:-4.648505126198683e-14, step1:-2.7891030757192094e-15 step2:-2.7891030757192094e-15 actualStep:-2.7891030757192094e-15 newV:12.390945610571404
61, success:True adjE: 1, zeroScore:-8.081514232005184e-11, average score:-8.081585963203278e-11 oV:736.9845163904279 average grad:-4.64853453380901e-13, step1:-2.8356060656234957e-14 step2:-2.8356060656234957e-14 actualStep:-2.8356060656234957e-14 newV:736.9845163904279
